b'id',b'key',b'value',b'type'
b'164586379',b'highway',b'motorway_junction',b'regular'
b'164586379',b'ref',b'134B',b'regular'
b'164598878',b'highway',b'motorway_junction',b'regular'
b'164598878',b'ref',b'134A',b'regular'
b'164600317',b'highway',b'motorway_junction',b'regular'
b'164600317',b'ref',b'135',b'regular'
b'164602182',b'railway',b'level_crossing',b'regular'
b'164610267',b'highway',b'motorway_junction',b'regular'
b'164610267',b'ref',b'134',b'regular'
b'164629785',b'highway',b'traffic_signals',b'regular'
b'164677217',b'highway',b'traffic_signals',b'regular'
b'164677232',b'highway',b'traffic_signals',b'regular'
b'164677254',b'highway',b'traffic_signals',b'regular'
b'164677269',b'highway',b'traffic_signals',b'regular'
b'164677287',b'highway',b'traffic_signals',b'regular'
b'164677304',b'highway',b'traffic_signals',b'regular'
b'164698141',b'bus',b'yes',b'regular'
b'164698141',b'highway',b'bus_stop',b'regular'
b'164698141',b'name',b'Oak / 1st',b'regular'
b'164698141',b'network',b'Transit Authority of River City',b'regular'
b'164698141',b'operator',b'Transit Authority of River City',b'regular'
b'164698141',b'public_transport',b'stop_position',b'regular'
b'164698147',b'highway',b'traffic_signals',b'regular'
b'164698167',b'bus',b'yes',b'regular'
b'164698167',b'highway',b'bus_stop',b'regular'
b'164698167',b'name',b'Oak / 6th',b'regular'
b'164698167',b'network',b'Transit Authority of River City',b'regular'
b'164698167',b'operator',b'Transit Authority of River City',b'regular'
b'164698167',b'public_transport',b'stop_position',b'regular'
b'164698175',b'bus',b'yes',b'regular'
b'164698175',b'highway',b'bus_stop',b'regular'
b'164698175',b'name',b'Oak / 7th',b'regular'
b'164698175',b'network',b'Transit Authority of River City',b'regular'
b'164698175',b'operator',b'Transit Authority of River City',b'regular'
b'164698175',b'public_transport',b'stop_position',b'regular'
b'164703154',b'highway',b'traffic_signals',b'regular'
b'164705641',b'railway',b'level_crossing',b'regular'
b'164705750',b'highway',b'traffic_signals',b'regular'
b'164705756',b'highway',b'traffic_signals',b'regular'
b'164714342',b'highway',b'traffic_signals',b'regular'
b'164714415',b'highway',b'traffic_signals',b'regular'
b'164714428',b'highway',b'traffic_signals',b'regular'
b'164714452',b'highway',b'traffic_signals',b'regular'
b'164714467',b'highway',b'traffic_signals',b'regular'
b'164734855',b'highway',b'traffic_signals',b'regular'
b'164736813',b'highway',b'traffic_signals',b'regular'
b'164776543',b'highway',b'traffic_signals',b'regular'
b'164776546',b'highway',b'traffic_signals',b'regular'
b'164785492',b'highway',b'traffic_signals',b'regular'
b'164785494',b'highway',b'traffic_signals',b'regular'
b'164785496',b'highway',b'traffic_signals',b'regular'
b'164785500',b'highway',b'traffic_signals',b'regular'
b'164785509',b'highway',b'traffic_signals',b'regular'
b'164785518',b'highway',b'traffic_signals',b'regular'
b'164795675',b'bus',b'yes',b'regular'
b'164795675',b'highway',b'bus_stop',b'regular'
b'164795675',b'name',b'7th / Jordan',b'regular'
b'164795675',b'network',b'Transit Authority of River City',b'regular'
b'164795675',b'operator',b'Transit Authority of River City',b'regular'
b'164795675',b'public_transport',b'stop_position',b'regular'
b'164799728',b'railway',b'level_crossing',b'regular'
b'164799742',b'railway',b'level_crossing',b'regular'
b'164801409',b'railway',b'level_crossing',b'regular'
b'164804469',b'highway',b'traffic_signals',b'regular'
b'164804471',b'highway',b'traffic_signals',b'regular'
b'164804485',b'highway',b'traffic_signals',b'regular'
b'164804496',b'highway',b'traffic_signals',b'regular'
b'164835428',b'railway',b'level_crossing',b'regular'
b'164835431',b'railway',b'level_crossing',b'regular'
b'164835828',b'highway',b'traffic_signals',b'regular'
b'164843382',b'railway',b'level_crossing',b'regular'
b'164843618',b'railway',b'level_crossing',b'regular'
b'164844982',b'railway',b'railway_crossing',b'regular'
b'164846135',b'railway',b'level_crossing',b'regular'
b'164846138',b'railway',b'level_crossing',b'regular'
b'164846269',b'railway',b'level_crossing',b'regular'
b'164846283',b'railway',b'level_crossing',b'regular'
b'164871690',b'highway',b'traffic_signals',b'regular'
b'164872672',b'railway',b'level_crossing',b'regular'
b'164881849',b'railway',b'level_crossing',b'regular'
b'164881855',b'railway',b'level_crossing',b'regular'
b'164881887',b'highway',b'traffic_signals',b'regular'
b'164881898',b'highway',b'traffic_signals',b'regular'
b'164893125',b'railway',b'level_crossing',b'regular'
b'164893130',b'railway',b'level_crossing',b'regular'
b'164900754',b'railway',b'level_crossing',b'regular'
b'164900756',b'railway',b'level_crossing',b'regular'
b'164930975',b'railway',b'level_crossing',b'regular'
b'164931802',b'railway',b'level_crossing',b'regular'
b'164964670',b'railway',b'level_crossing',b'regular'
b'164987184',b'railway',b'level_crossing',b'regular'
b'164992911',b'railway',b'level_crossing',b'regular'
b'164992937',b'railway',b'level_crossing',b'regular'
b'164996000',b'railway',b'level_crossing',b'regular'
b'164996035',b'railway',b'level_crossing',b'regular'
b'165087386',b'railway',b'level_crossing',b'regular'
b'165094829',b'railway',b'level_crossing',b'regular'
b'165096284',b'bus',b'yes',b'regular'
b'165096284',b'highway',b'bus_stop',b'regular'
b'165096284',b'name',b'4th / St Catherine',b'regular'
b'165096284',b'network',b'Transit Authority of River City',b'regular'
b'165096284',b'operator',b'Transit Authority of River City',b'regular'
b'165096284',b'public_transport',b'stop_position',b'regular'
b'165096284',b'tactile_paving',b'no',b'regular'
b'165096286',b'bus',b'yes',b'regular'
b'165096286',b'highway',b'bus_stop',b'regular'
b'165096286',b'name',b'4th / Ormsby',b'regular'
b'165096286',b'network',b'Transit Authority of River City',b'regular'
b'165096286',b'operator',b'Transit Authority of River City',b'regular'
b'165096286',b'public_transport',b'stop_position',b'regular'
b'165096286',b'tactile_paving',b'no',b'regular'
b'165096289',b'bus',b'yes',b'regular'
b'165096289',b'highway',b'bus_stop',b'regular'
b'165096289',b'name',b'4th / Magnolia',b'regular'
b'165096289',b'network',b'Transit Authority of River City',b'regular'
b'165096289',b'operator',b'Transit Authority of River City',b'regular'
b'165096289',b'public_transport',b'stop_position',b'regular'
b'165096289',b'tactile_paving',b'no',b'regular'
b'165096290',b'highway',b'crossing',b'regular'
b'165096296',b'highway',b'crossing',b'regular'
b'165096304',b'bus',b'yes',b'regular'
b'165096304',b'highway',b'bus_stop',b'regular'
b'165096304',b'name',b'4th / Lee',b'regular'
b'165096304',b'network',b'Transit Authority of River City',b'regular'
b'165096304',b'operator',b'Transit Authority of River City',b'regular'
b'165096304',b'public_transport',b'stop_position',b'regular'
b'165096304',b'tactile_paving',b'no',b'regular'
b'165137973',b'bus',b'yes',b'regular'
b'165137973',b'highway',b'bus_stop',b'regular'
b'165137973',b'name',b'Magnolia / Levering',b'regular'
b'165137973',b'network',b'Transit Authority of River City',b'regular'
b'165137973',b'operator',b'Transit Authority of River City',b'regular'
b'165137973',b'public_transport',b'stop_position',b'regular'
b'165173213',b'railway',b'level_crossing',b'regular'
b'165205761',b'bus',b'yes',b'regular'
b'165205761',b'highway',b'bus_stop',b'regular'
b'165205761',b'name',b'1st / Oak',b'regular'
b'165205761',b'network',b'Transit Authority of River City',b'regular'
b'165205761',b'operator',b'Transit Authority of River City',b'regular'
b'165205761',b'public_transport',b'stop_position',b'regular'
b'165205761',b'tactile_paving',b'no',b'regular'
b'358608847',b'amenity',b'school',b'regular'
b'358608847',b'ele',b'140',b'regular'
b'358608847',b'county_id',b'111',b'gnis'
b'358608847',b'created',b'09/20/1979',b'gnis'
b'358608847',b'feature_id',b'505289',b'gnis'
b'358608847',b'state_id',b'21',b'gnis'
b'358608847',b'name',b'Tingley School',b'regular'
b'358621211',b'amenity',b'place_of_worship',b'regular'
b'358621211',b'denomination',b'methodist',b'regular'
b'358621211',b'ele',b'143',b'regular'
b'358621211',b'county_id',b'111',b'gnis'
b'358621211',b'created',b'06/26/2008',b'gnis'
b'358621211',b'feature_id',b'2460014',b'gnis'
b'358621211',b'state_id',b'21',b'gnis'
b'358621211',b'name',b'Miles Memorial Christian Methodist Episcopal Church',b'regular'
b'358621211',b'religion',b'christian',b'regular'
b'358621260',b'amenity',b'place_of_worship',b'regular'
b'358621260',b'ele',b'140',b'regular'
b'358621260',b'county_id',b'111',b'gnis'
b'358621260',b'created',b'06/26/2008',b'gnis'
b'358621260',b'feature_id',b'2460037',b'gnis'
b'358621260',b'state_id',b'21',b'gnis'
b'358621260',b'name',b'New Beginnings Assembly of God Church',b'regular'
b'358621260',b'religion',b'christian',b'regular'
b'1271600863',b'railway',b'railway_crossing',b'regular'
b'2047364971',b'entrance',b'yes',b'regular'
b'2047364971',b'source',b'bing',b'regular'
b'2047364985',b'entrance',b'yes',b'regular'
b'2047364985',b'source',b'bing',b'regular'
b'2047364990',b'entrance',b'yes',b'regular'
b'2047364990',b'source',b'bing',b'regular'
b'2047365004',b'entrance',b'yes',b'regular'
b'2047365004',b'source',b'bing',b'regular'
b'2047365049',b'entrance',b'yes',b'regular'
b'2047365049',b'source',b'bing',b'regular'
b'2047365055',b'entrance',b'yes',b'regular'
b'2047365055',b'source',b'bing',b'regular'
b'2089460599',b'railway',b'level_crossing',b'regular'
b'2089460612',b'railway',b'level_crossing',b'regular'
b'2089473654',b'railway',b'level_crossing',b'regular'
b'2089473655',b'railway',b'level_crossing',b'regular'
b'2089473656',b'railway',b'level_crossing',b'regular'
b'2089473658',b'railway',b'level_crossing',b'regular'
b'2089473659',b'railway',b'level_crossing',b'regular'
b'2089473663',b'railway',b'level_crossing',b'regular'
b'2089473664',b'railway',b'level_crossing',b'regular'
b'2089473667',b'railway',b'level_crossing',b'regular'
b'2758951018',b'highway',b'crossing',b'regular'
b'2758951020',b'highway',b'crossing',b'regular'
b'2758951023',b'highway',b'crossing',b'regular'
b'2758951025',b'highway',b'crossing',b'regular'
b'2758951033',b'highway',b'crossing',b'regular'
b'2758951035',b'highway',b'crossing',b'regular'
b'2795239416',b'highway',b'crossing',b'regular'
b'2822956926',b'highway',b'crossing',b'regular'
b'2830267202',b'highway',b'crossing',b'regular'
b'2830267205',b'highway',b'crossing',b'regular'
b'2830267207',b'highway',b'crossing',b'regular'
b'2830267209',b'highway',b'crossing',b'regular'
b'2830267211',b'highway',b'crossing',b'regular'
b'2830267214',b'highway',b'crossing',b'regular'
b'2830267218',b'highway',b'crossing',b'regular'
b'3141280919',b'highway',b'traffic_signals',b'regular'
b'3236404838',b'highway',b'traffic_signals',b'regular'
b'3236404850',b'highway',b'traffic_signals',b'regular'
b'3236404851',b'highway',b'traffic_signals',b'regular'
b'3236404852',b'highway',b'traffic_signals',b'regular'
b'3236404853',b'highway',b'traffic_signals',b'regular'
b'3236404854',b'highway',b'traffic_signals',b'regular'
b'3236404855',b'highway',b'traffic_signals',b'regular'
b'3236404859',b'highway',b'traffic_signals',b'regular'
b'3236404860',b'highway',b'traffic_signals',b'regular'
b'3363734025',b'city',b'Louisville',b'addr'
b'3363734025',b'housenumber',b'1006',b'addr'
b'3363734025',b'postcode',b'40203',b'addr'
b'3363734025',b'state',b'KY',b'addr'
b'3363734025',b'street',b'South Clay Street',b'addr'
b'3363734025',b'unit',b'4',b'addr'
b'3363734026',b'city',b'Louisville',b'addr'
b'3363734026',b'housenumber',b'1006',b'addr'
b'3363734026',b'postcode',b'40203',b'addr'
b'3363734026',b'state',b'KY',b'addr'
b'3363734026',b'street',b'South Clay Street',b'addr'
b'3363734026',b'unit',b'3',b'addr'
b'3363734027',b'city',b'Louisville',b'addr'
b'3363734027',b'housenumber',b'1006',b'addr'
b'3363734027',b'postcode',b'40203',b'addr'
b'3363734027',b'state',b'KY',b'addr'
b'3363734027',b'street',b'South Clay Street',b'addr'
b'3363734027',b'unit',b'2',b'addr'
b'3363734028',b'city',b'Louisville',b'addr'
b'3363734028',b'housenumber',b'1006',b'addr'
b'3363734028',b'postcode',b'40203',b'addr'
b'3363734028',b'state',b'KY',b'addr'
b'3363734028',b'street',b'South Clay Street',b'addr'
b'3363734028',b'unit',b'1',b'addr'
b'3363734029',b'city',b'Louisville',b'addr'
b'3363734029',b'housenumber',b'1006',b'addr'
b'3363734029',b'postcode',b'40203',b'addr'
b'3363734029',b'state',b'KY',b'addr'
b'3363734029',b'street',b'South Shelby Street',b'addr'
b'3363734029',b'unit',b'2',b'addr'
b'3363734030',b'city',b'Louisville',b'addr'
b'3363734030',b'housenumber',b'1006',b'addr'
b'3363734030',b'postcode',b'40203',b'addr'
b'3363734030',b'state',b'KY',b'addr'
b'3363734030',b'street',b'South Shelby Street',b'addr'
b'3363734030',b'unit',b'1',b'addr'
b'3363734032',b'city',b'Louisville',b'addr'
b'3363734032',b'housenumber',b'1007',b'addr'
b'3363734032',b'postcode',b'40203',b'addr'
b'3363734032',b'state',b'KY',b'addr'
b'3363734032',b'street',b'St Paul Court',b'addr'
b'3363734032',b'unit',b'4',b'addr'
b'3363734033',b'city',b'Louisville',b'addr'
b'3363734033',b'housenumber',b'1007',b'addr'
b'3363734033',b'postcode',b'40203',b'addr'
b'3363734033',b'state',b'KY',b'addr'
b'3363734033',b'street',b'St Paul Court',b'addr'
b'3363734033',b'unit',b'3',b'addr'
b'3363734034',b'city',b'Louisville',b'addr'
b'3363734034',b'housenumber',b'1007',b'addr'
b'3363734034',b'postcode',b'40203',b'addr'
b'3363734034',b'state',b'KY',b'addr'
b'3363734034',b'street',b'St Paul Court',b'addr'
b'3363734034',b'unit',b'2',b'addr'
b'3363734035',b'city',b'Louisville',b'addr'
b'3363734035',b'housenumber',b'1007',b'addr'
b'3363734035',b'postcode',b'40203',b'addr'
b'3363734035',b'state',b'KY',b'addr'
b'3363734035',b'street',b'St Paul Court',b'addr'
b'3363734035',b'unit',b'1',b'addr'
b'3363734036',b'city',b'Louisville',b'addr'
b'3363734036',b'housenumber',b'1008',b'addr'
b'3363734036',b'postcode',b'40203',b'addr'
b'3363734036',b'state',b'KY',b'addr'
b'3363734036',b'street',b'South Clay Street',b'addr'
b'3363734036',b'unit',b'4',b'addr'
b'3363734037',b'city',b'Louisville',b'addr'
b'3363734037',b'housenumber',b'1008',b'addr'
b'3363734037',b'postcode',b'40203',b'addr'
b'3363734037',b'state',b'KY',b'addr'
b'3363734037',b'street',b'South Clay Street',b'addr'
b'3363734037',b'unit',b'3',b'addr'
b'3363734038',b'city',b'Louisville',b'addr'
b'3363734038',b'housenumber',b'1008',b'addr'
b'3363734038',b'postcode',b'40203',b'addr'
b'3363734038',b'state',b'KY',b'addr'
b'3363734038',b'street',b'South Clay Street',b'addr'
b'3363734038',b'unit',b'2',b'addr'
b'3363734039',b'city',b'Louisville',b'addr'
b'3363734039',b'housenumber',b'1008',b'addr'
b'3363734039',b'postcode',b'40203',b'addr'
b'3363734039',b'state',b'KY',b'addr'
b'3363734039',b'street',b'South Clay Street',b'addr'
b'3363734039',b'unit',b'1',b'addr'
b'3363734040',b'city',b'Louisville',b'addr'
b'3363734040',b'housenumber',b'1008',b'addr'
b'3363734040',b'postcode',b'40203',b'addr'
b'3363734040',b'state',b'KY',b'addr'
