b'id',b'node_id',b'position'
b'16211452',b'164581363',b'0'
b'16211452',b'3443965461',b'1'
b'16211452',b'2698212236',b'2'
b'16211452',b'3443965450',b'3'
b'16211452',b'3443965116',b'4'
b'16211452',b'3443965078',b'5'
b'16211452',b'164581369',b'6'
b'16211452',b'3443965035',b'7'
b'16211452',b'164581372',b'8'
b'16211452',b'2698212235',b'9'
b'16211452',b'3443964590',b'10'
b'16211452',b'2698212234',b'11'
b'16211452',b'3443964504',b'12'
b'16211452',b'164581374',b'13'
b'16211599',b'164586379',b'0'
b'16211599',b'164586389',b'1'
b'16211599',b'164586392',b'2'
b'16211599',b'164586395',b'3'
b'16211599',b'627737959',b'4'
b'16211748',b'164591864',b'0'
b'16211748',b'164591868',b'1'
b'16211748',b'164591872',b'2'
b'16211748',b'164591876',b'3'
b'16211748',b'164591880',b'4'
b'16211748',b'164591887',b'5'
b'16211748',b'164591894',b'6'
b'16211748',b'164591898',b'7'
b'16211748',b'164591901',b'8'
b'16211748',b'164591908',b'9'
b'16211748',b'164591910',b'10'
b'16211748',b'164591913',b'11'
b'16211748',b'164591916',b'12'
b'16211748',b'164591920',b'13'
b'16211748',b'164591923',b'14'
b'16211748',b'164591927',b'15'
b'16211748',b'164601048',b'16'
b'16211748',b'164601050',b'17'
b'16211748',b'164601056',b'18'
b'16211944',b'164596093',b'0'
b'16211944',b'164596096',b'1'
b'16211944',b'164596099',b'2'
b'16211944',b'164596102',b'3'
b'16211944',b'164596106',b'4'
b'16211944',b'164596109',b'5'
b'16211944',b'164596113',b'6'
b'16211944',b'164596115',b'7'
b'16211944',b'810834744',b'8'
b'16211952',b'164596212',b'0'
b'16211952',b'164596214',b'1'
b'16211952',b'164596216',b'2'
b'16211952',b'164596220',b'3'
b'16211952',b'164596223',b'4'
b'16211952',b'164596226',b'5'
b'16211952',b'627738079',b'6'
b'16212005',b'164597613',b'0'
b'16212005',b'164597616',b'1'
b'16212005',b'164597619',b'2'
b'16212005',b'164597623',b'3'
b'16212005',b'164597627',b'4'
b'16212075',b'164598878',b'0'
b'16212075',b'164598884',b'1'
b'16212075',b'164598888',b'2'
b'16212075',b'164598890',b'3'
b'16212075',b'164598892',b'4'
b'16212075',b'164598894',b'5'
b'16212075',b'627737685',b'6'
b'16212075',b'164598896',b'7'
b'16212075',b'164598897',b'8'
b'16212075',b'164598901',b'9'
b'16212129',b'164600317',b'0'
b'16212129',b'164600323',b'1'
b'16212168',b'164601025',b'0'
b'16212168',b'164601027',b'1'
b'16212168',b'164601029',b'2'
b'16212168',b'164601031',b'3'
b'16212168',b'164601035',b'4'
